Entry ID,Date,Transaction Type,Account Debited,Account Credited,Amount,Narration
1170,2024-06-18,Payroll,Salaries Expense,Bank Account,3943.55,Salary paid to employees
1171,2024-06-19,Payroll,Salaries Expense,Bank Account,7117.97,Salary paid to employees
1172,2024-06-20,Depreciation,Depreciation Expense,Accumulated Depreciation,15523.79,Monthly depreciation for asset
1173,2024-06-21,Interest Income,Bank Account,Interest Income,10174.69,Interest received from bank
1174,2024-06-22,Cash Sale,Cash Account,Sales Revenue,12160.6,Cash sale to customer
1175,2024-06-23,Depreciation,Depreciation Expense,Accumulated Depreciation,12996.03,Monthly depreciation for asset
1176,2024-06-24,Loan Repayment,Loan Payable,Bank Account,4065.94,Loan repayment to bank
1177,2024-06-25,Cash Sale,Cash Account,Sales Revenue,2537.37,Cash sale to customer
1178,2024-06-26,Rent,Rent Expense,Bank Account,6700.97,Monthly rent paid for office space
1179,2024-06-27,Rent,Rent Expense,Bank Account,19969.46,Monthly rent paid for office space
1180,2024-06-28,Sales,Accounts Receivable,Sales Revenue,19340.36,Credit sale to customer XYZ Corp.
1181,2024-06-29,Sales,Accounts Receivable,Sales Revenue,11854.27,Credit sale to customer Nova Enterprises
1182,2024-06-30,Rent,Rent Expense,Bank Account,17252.39,Monthly rent paid for office space
1183,2024-07-01,Purchase,Inventory,Accounts Payable,4708.34,Raw materials purchased from supplier Unity Inc.
1184,2024-07-02,Cash Sale,Cash Account,Sales Revenue,18321.02,Cash sale to customer
1185,2024-07-03,Payroll,Salaries Expense,Bank Account,2781.82,Salary paid to employees
1186,2024-07-04,Loan Repayment,Loan Payable,Bank Account,7865.1,Loan repayment to bank
1187,2024-07-05,Rent,Rent Expense,Bank Account,12268.67,Monthly rent paid for office space
1188,2024-07-06,Payroll,Salaries Expense,Bank Account,13040.16,Salary paid to employees
1189,2024-07-07,Cash Sale,Cash Account,Sales Revenue,18662.7,Cash sale to customer
1190,2024-07-08,Rent,Rent Expense,Bank Account,19529.22,Monthly rent paid for office space
1191,2024-07-09,Payroll,Salaries Expense,Bank Account,13750.81,Salary paid to employees
1192,2024-07-10,Loan Repayment,Loan Payable,Bank Account,13148.93,Loan repayment to bank
1193,2024-07-11,Cash Sale,Cash Account,Sales Revenue,9322.58,Cash sale to customer
1194,2024-07-12,Cash Sale,Cash Account,Sales Revenue,2343.78,Cash sale to customer
1195,2024-07-13,Cash Sale,Cash Account,Sales Revenue,12590.0,Cash sale to customer
1196,2024-07-14,Sales,Accounts Receivable,Sales Revenue,11268.5,Credit sale to customer Nova Enterprises
1197,2024-07-15,Loan Repayment,Loan Payable,Bank Account,18540.05,Loan repayment to bank
1198,2024-07-16,Interest Income,Bank Account,Interest Income,2459.89,Interest received from bank
1199,2024-07-17,Sales,Accounts Receivable,Sales Revenue,15398.43,Credit sale to customer XYZ Corp.
1200,2024-07-18,Depreciation,Depreciation Expense,Accumulated Depreciation,11287.72,Monthly depreciation for asset
1201,2024-07-19,Purchase,Inventory,Accounts Payable,17635.76,Raw materials purchased from supplier BrightTech
1202,2024-07-20,Cash Sale,Cash Account,Sales Revenue,5506.01,Cash sale to customer
1203,2024-07-21,Cash Sale,Cash Account,Sales Revenue,14109.1,Cash sale to customer
1204,2024-07-22,Interest Income,Bank Account,Interest Income,8393.12,Interest received from bank
1205,2024-07-23,Cash Sale,Cash Account,Sales Revenue,19566.84,Cash sale to customer
1206,2024-07-24,Depreciation,Depreciation Expense,Accumulated Depreciation,4504.96,Monthly depreciation for asset
1207,2024-07-25,Rent,Rent Expense,Bank Account,1666.75,Monthly rent paid for office space
1208,2024-07-26,Payroll,Salaries Expense,Bank Account,5372.37,Salary paid to employees
1209,2024-07-27,Loan Repayment,Loan Payable,Bank Account,1569.54,Loan repayment to bank
1210,2024-07-28,Interest Income,Bank Account,Interest Income,10138.08,Interest received from bank
1211,2024-07-29,Loan Repayment,Loan Payable,Bank Account,5222.02,Loan repayment to bank
1212,2024-07-30,Interest Income,Bank Account,Interest Income,18964.71,Interest received from bank
1213,2024-07-31,Interest Income,Bank Account,Interest Income,8688.4,Interest received from bank
1214,2024-08-01,Cash Sale,Cash Account,Sales Revenue,17782.75,Cash sale to customer
1215,2024-08-02,Payroll,Salaries Expense,Bank Account,17716.61,Salary paid to employees
1216,2024-08-03,Purchase,Inventory,Accounts Payable,11738.62,Raw materials purchased from supplier BrightTech
1217,2024-08-04,Cash Sale,Cash Account,Sales Revenue,4959.98,Cash sale to customer
1218,2024-08-05,Cash Sale,Cash Account,Sales Revenue,11049.42,Cash sale to customer
1219,2024-08-06,Rent,Rent Expense,Bank Account,4647.91,Monthly rent paid for office space
1220,2024-08-07,Purchase,Inventory,Accounts Payable,6766.34,Raw materials purchased from supplier BrightTech
1221,2024-08-08,Payroll,Salaries Expense,Bank Account,16429.68,Salary paid to employees
1222,2024-08-09,Depreciation,Depreciation Expense,Accumulated Depreciation,4920.84,Monthly depreciation for asset
1223,2024-08-10,Purchase,Inventory,Accounts Payable,17939.24,Raw materials purchased from supplier ABC Pvt. Ltd.
1224,2024-08-11,Sales,Accounts Receivable,Sales Revenue,1620.31,Credit sale to customer Global Suppliers
1225,2024-08-12,Purchase,Inventory,Accounts Payable,1529.11,Raw materials purchased from supplier XYZ Corp.
1226,2024-08-13,Cash Sale,Cash Account,Sales Revenue,12609.73,Cash sale to customer
1227,2024-08-14,Purchase,Inventory,Accounts Payable,4410.64,Raw materials purchased from supplier Nova Enterprises
1228,2024-08-15,Sales,Accounts Receivable,Sales Revenue,10966.36,Credit sale to customer BrightTech
1229,2024-08-16,Cash Sale,Cash Account,Sales Revenue,10379.86,Cash sale to customer
1230,2024-08-17,Cash Sale,Cash Account,Sales Revenue,11098.44,Cash sale to customer
1231,2024-08-18,Sales,Accounts Receivable,Sales Revenue,2942.63,Credit sale to customer Global Suppliers
1232,2024-08-19,Cash Sale,Cash Account,Sales Revenue,9312.03,Cash sale to customer
1233,2024-08-20,Interest Income,Bank Account,Interest Income,13761.23,Interest received from bank
1234,2024-08-21,Interest Income,Bank Account,Interest Income,8249.38,Interest received from bank
1235,2024-08-22,Cash Sale,Cash Account,Sales Revenue,16166.1,Cash sale to customer
1236,2024-08-23,Cash Sale,Cash Account,Sales Revenue,10970.75,Cash sale to customer
1237,2024-08-24,Rent,Rent Expense,Bank Account,8044.58,Monthly rent paid for office space
1238,2024-08-25,Payroll,Salaries Expense,Bank Account,15216.78,Salary paid to employees
1239,2024-08-26,Purchase,Inventory,Accounts Payable,10503.14,Raw materials purchased from supplier BrightTech
1240,2024-08-27,Cash Sale,Cash Account,Sales Revenue,11539.0,Cash sale to customer
1241,2024-08-28,Sales,Accounts Receivable,Sales Revenue,9356.05,Credit sale to customer ABC Pvt. Ltd.
1242,2024-08-29,Rent,Rent Expense,Bank Account,12497.9,Monthly rent paid for office space
1243,2024-08-30,Purchase,Inventory,Accounts Payable,3343.28,Raw materials purchased from supplier BrightTech
1244,2024-08-31,Depreciation,Depreciation Expense,Accumulated Depreciation,17671.37,Monthly depreciation for asset
1245,2024-09-01,Purchase,Inventory,Accounts Payable,15126.72,Raw materials purchased from supplier Global Suppliers
1246,2024-09-02,Sales,Accounts Receivable,Sales Revenue,3692.19,Credit sale to customer Unity Inc.
1247,2024-09-03,Cash Sale,Cash Account,Sales Revenue,16454.25,Cash sale to customer
1248,2024-09-04,Purchase,Inventory,Accounts Payable,17206.29,Raw materials purchased from supplier Nova Enterprises
1249,2024-09-05,Sales,Accounts Receivable,Sales Revenue,9695.36,Credit sale to customer Global Suppliers
1250,2024-09-06,Interest Income,Bank Account,Interest Income,13151.05,Interest received from bank
1251,2024-09-07,Depreciation,Depreciation Expense,Accumulated Depreciation,15273.31,Monthly depreciation for asset
1252,2024-09-08,Payroll,Salaries Expense,Bank Account,12986.11,Salary paid to employees
1253,2024-09-09,Cash Sale,Cash Account,Sales Revenue,11793.69,Cash sale to customer
1254,2024-09-10,Purchase,Inventory,Accounts Payable,4693.87,Raw materials purchased from supplier BrightTech
1255,2024-09-11,Loan Repayment,Loan Payable,Bank Account,5164.51,Loan repayment to bank
1256,2024-09-12,Loan Repayment,Loan Payable,Bank Account,8410.12,Loan repayment to bank
1257,2024-09-13,Purchase,Inventory,Accounts Payable,6613.39,Raw materials purchased from supplier ABC Pvt. Ltd.
1258,2024-09-14,Payroll,Salaries Expense,Bank Account,2261.57,Salary paid to employees
1259,2024-09-15,Purchase,Inventory,Accounts Payable,13087.54,Raw materials purchased from supplier Nova Enterprises
1260,2024-09-16,Loan Repayment,Loan Payable,Bank Account,14208.26,Loan repayment to bank
1261,2024-09-17,Payroll,Salaries Expense,Bank Account,9238.8,Salary paid to employees
1262,2024-09-18,Rent,Rent Expense,Bank Account,3388.66,Monthly rent paid for office space
1263,2024-09-19,Purchase,Inventory,Accounts Payable,6636.28,Raw materials purchased from supplier XYZ Corp.
1264,2024-09-20,Cash Sale,Cash Account,Sales Revenue,18258.77,Cash sale to customer
1265,2024-09-21,Cash Sale,Cash Account,Sales Revenue,8864.52,Cash sale to customer
1266,2024-09-22,Cash Sale,Cash Account,Sales Revenue,2208.49,Cash sale to customer
1267,2024-09-23,Interest Income,Bank Account,Interest Income,10804.71,Interest received from bank
1268,2024-09-24,Depreciation,Depreciation Expense,Accumulated Depreciation,4362.67,Monthly depreciation for asset
1269,2024-09-25,Loan Repayment,Loan Payable,Bank Account,12919.99,Loan repayment to bank
1270,2024-09-26,Purchase,Inventory,Accounts Payable,7178.79,Raw materials purchased from supplier ABC Pvt. Ltd.
1271,2024-09-27,Payroll,Salaries Expense,Bank Account,11733.73,Salary paid to employees
1272,2024-09-28,Depreciation,Depreciation Expense,Accumulated Depreciation,14148.47,Monthly depreciation for asset
1273,2024-09-29,Cash Sale,Cash Account,Sales Revenue,11680.29,Cash sale to customer
1274,2024-09-30,Payroll,Salaries Expense,Bank Account,14584.51,Salary paid to employees
1275,2024-10-01,Loan Repayment,Loan Payable,Bank Account,6650.48,Loan repayment to bank
1276,2024-10-02,Loan Repayment,Loan Payable,Bank Account,19849.0,Loan repayment to bank
1277,2024-10-03,Payroll,Salaries Expense,Bank Account,6837.64,Salary paid to employees
1278,2024-10-04,Loan Repayment,Loan Payable,Bank Account,15351.03,Loan repayment to bank
1279,2024-10-05,Payroll,Salaries Expense,Bank Account,16515.26,Salary paid to employees
1280,2024-10-06,Cash Sale,Cash Account,Sales Revenue,6286.55,Cash sale to customer
1281,2024-10-07,Loan Repayment,Loan Payable,Bank Account,8485.98,Loan repayment to bank
1282,2024-10-08,Interest Income,Bank Account,Interest Income,7958.99,Interest received from bank
1283,2024-10-09,Loan Repayment,Loan Payable,Bank Account,10585.26,Loan repayment to bank
1284,2024-10-10,Purchase,Inventory,Accounts Payable,11485.23,Raw materials purchased from supplier Global Suppliers
1285,2024-10-11,Interest Income,Bank Account,Interest Income,15348.41,Interest received from bank
1286,2024-10-12,Cash Sale,Cash Account,Sales Revenue,4615.04,Cash sale to customer
1287,2024-10-13,Purchase,Inventory,Accounts Payable,4645.67,Raw materials purchased from supplier Unity Inc.
1288,2024-10-14,Purchase,Inventory,Accounts Payable,3120.43,Raw materials purchased from supplier BrightTech
1289,2024-10-15,Interest Income,Bank Account,Interest Income,2791.78,Interest received from bank
1290,2024-10-16,Depreciation,Depreciation Expense,Accumulated Depreciation,7237.87,Monthly depreciation for asset
1291,2024-10-17,Rent,Rent Expense,Bank Account,13318.5,Monthly rent paid for office space
1292,2024-10-18,Depreciation,Depreciation Expense,Accumulated Depreciation,9384.22,Monthly depreciation for asset
1293,2024-10-19,Rent,Rent Expense,Bank Account,12224.37,Monthly rent paid for office space
1294,2024-10-20,Depreciation,Depreciation Expense,Accumulated Depreciation,9751.87,Monthly depreciation for asset
1295,2024-10-21,Purchase,Inventory,Accounts Payable,14601.06,Raw materials purchased from supplier Global Suppliers
1296,2024-10-22,Rent,Rent Expense,Bank Account,1465.57,Monthly rent paid for office space
1297,2024-10-23,Interest Income,Bank Account,Interest Income,5208.01,Interest received from bank
